EVOL	03/31/2015 	8.82
EVOL	03/30/2015 	8.82
EVOL	03/27/2015 	8.67
EVOL	03/26/2015 	8.70
EVOL	03/25/2015 	8.65
EVOL	03/24/2015 	8.80
EVOL	03/23/2015 	8.75
EVOL	03/20/2015 	8.80
EVOL	03/19/2015 	8.79
EVOL	03/18/2015 	8.49
EVOL	03/17/2015 	8.49
EVOL	03/16/2015 	8.01
EVOL	03/13/2015 	8.16
EVOL	03/12/2015 	8.15
EVOL	03/11/2015 	8.17
EVOL	03/10/2015 	8.21
EVOL	03/09/2015 	8.28
EVOL	03/06/2015 	8.31
EVOL	03/05/2015 	8.42
EVOL	03/04/2015 	8.50
EVOL	03/03/2015 	8.50
EVOL	03/02/2015 	8.48
EVOL	02/27/2015 	8.68
EVOL	02/26/2015 	8.60
EVOL	02/25/2015 	8.67
EVOL	02/24/2015 	8.75
EVOL	02/23/2015 	8.72
EVOL	02/20/2015 	8.56
EVOL	02/19/2015 	8.74
EVOL	02/18/2015 	8.71
EVOL	02/17/2015 	8.82
EVOL	02/13/2015 	8.83
EVOL	02/12/2015 	8.55
EVOL	02/11/2015 	8.42
EVOL	02/10/2015 	8.50
EVOL	02/09/2015 	8.54
EVOL	02/06/2015 	8.97
EVOL	02/05/2015 	9.08
EVOL	02/04/2015 	8.99
EVOL	02/03/2015 	9.00
EVOL	02/02/2015 	8.86
EVOL	01/30/2015 	8.95
EVOL	01/29/2015 	8.96
EVOL	01/28/2015 	8.86
EVOL	01/27/2015 	9.02
EVOL	01/26/2015 	9.08
EVOL	01/23/2015 	8.96
EVOL	01/22/2015 	9.18
EVOL	01/21/2015 	9.31
EVOL	01/20/2015 	9.30
EVOL	01/16/2015 	9.14
EVOL	01/15/2015 	9.00
EVOL	01/14/2015 	9.08
EVOL	01/13/2015 	9.10
EVOL	01/12/2015 	9.33
EVOL	01/09/2015 	9.39
EVOL	01/08/2015 	9.41
EVOL	01/07/2015 	9.25
EVOL	01/06/2015 	9.45
EVOL	01/05/2015 	9.26
EVOL	01/02/2015 	9.30
EVOL	12/31/2014 	9.37
EVOL	12/30/2014 	9.34
EVOL	12/29/2014 	9.37
EVOL	12/26/2014 	9.63
EVOL	12/24/2014 	9.61
EVOL	12/23/2014 	9.61
EVOL	12/22/2014 	9.34
EVOL	12/19/2014 	9.49
EVOL	12/18/2014 	9.59
EVOL	12/17/2014 	9.38
EVOL	12/16/2014 	9.50
EVOL	12/15/2014 	10.06
EVOL	12/12/2014 	10.19
EVOL	12/11/2014 	10.49
EVOL	12/10/2014 	10.36
EVOL	12/09/2014 	10.40
EVOL	12/08/2014 	10.50
EVOL	12/05/2014 	10.56
EVOL	12/04/2014 	10.12
EVOL	12/03/2014 	10.01
EVOL	12/02/2014 	10.05
EVOL	12/01/2014 	9.65
EVOL	11/28/2014 	9.76
EVOL	11/26/2014 	9.87
EVOL	11/25/2014 	9.75
EVOL	11/24/2014 	9.85
EVOL	11/21/2014 	10.04
EVOL	11/20/2014 	10.07
EVOL	11/19/2014 	10.29
EVOL	11/18/2014 	10.39
EVOL	11/17/2014 	10.19
EVOL	11/14/2014 	10.01
EVOL	11/13/2014 	10.08
EVOL	11/12/2014 	10.24
